giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
18;8.00;0.0;17.3;44;19;58;38;60;1906;1024.3;-
18;9.00;0.0;18.7;40;22;68;40;49;2699;1024.1;-
18;10.00;0.0;19.5;33;23;90;42;106;2978;1024.0;-
18;11.00;0.0;19.9;34;19;76;33;86;2956;1023.7;-
18;12.00;0.0;19.7;38;21;36;42;46;2463;1023.7;-
18;13.00;0.0;20.4;35;23;60;42;49;2576;1023.7;-
18;14.00;0.0;17.8;48;19;3;36;74;1697;1023.7;-
18;15.00;0.0;15.5;65;22;192;35;206;1255;1024.4;-
18;16.00;0.0;16.7;48;8;17;21;208;1247;1024.7;-
18;17.00;0.0;16.7;44;5;31;11;4;665;1025.0;-
18;18.00;0.0;17.2;42;4;347;8;84;118;1025.8;-
18;19.00;0.0;16.5;49;5;64;11;18;0;1026.7;-
18;20.00;0.0;16.4;47;9;74;21;49;0;1027.2;-
18;21.00;0.0;16.4;46;9;69;21;80;0;1027.7;-
18;22.00;0.0;15.1;53;14;47;27;68;0;1028.1;-
18;23.00;0.0;15.6;47;14;79;22;24;0;1028.5;-
18;24.00;0.0;14.9;52;21;64;34;54;0;1028.1;-
19;1.00;0.0;14.9;47;15;137;26;67;0;1028.3;-
19;2.00;0.0;15.0;47;15;112;30;139;0;1028.1;-
19;3.00;0.0;14.5;49;17;77;33;87;0;1028.5;-
19;4.00;0.0;14.3;50;6;33;18;66;0;1028.6;-
19;5.00;0.0;14.1;54;14;51;28;59;88;1029.1;-
19;6.00;0.0;15.6;46;12;95;27;99;639;1029.1;-
19;7.00;0.0;17.0;44;15;102;33;109;1284;1029.1;-
19;8.00;0.0;17.6;44;23;56;39;66;1918;1029.3;-
19;9.00;0.0;18.7;35;18;40;29;83;2500;1029.2;-
19;10.00;0.0;16.2;58;9;255;23;45;2968;1028.8;-
19;11.00;0.0;16.2;61;19;263;30;279;3256;1028.6;-
19;12.00;0.0;15.8;65;16;327;28;285;3210;1028.2;-
19;13.00;0.0;16.5;62;6;70;21;297;3018;1027.9;-
19;14.00;0.0;16.4;65;8;352;18;202;2638;1027.7;-
19;15.00;0.0;15.7;67;6;18;20;206;2063;1027.6;-
19;16.00;0.0;17.2;54;4;287;22;244;1378;1027.3;-
19;17.00;0.0;16.7;54;5;178;12;217;689;1027.2;-
19;18.00;0.0;16.7;43;3;48;7;83;128;1027.3;-
19;19.00;0.0;16.6;44;5;84;12;81;0;1027.7;-
19;20.00;0.0;16.0;45;6;85;12;69;0;1028.0;-
19;21.00;0.0;15.5;46;7;90;13;82;0;1028.2;-
19;22.00;0.0;14.2;61;5;62;11;197;0;1028.3;-
19;23.00;0.0;13.7;61;5;219;12;25;0;1028.2;-
19;24.00;0.0;13.4;66;3;93;6;178;0;1028.0;-
20;1.00;0.0;13.2;63;3;139;8;36;0;1027.4;-
20;2.00;0.0;12.9;68;3;120;8;165;0;1027.2;-
20;3.00;0.0;12.8;65;2;159;5;144;0;1026.9;-
20;4.00;0.0;12.8;61;4;255;9;208;0;1026.8;-
20;5.00;0.0;13.3;74;4;100;9;44;95;1027.0;-
20;6.00;0.0;14.5;69;3;311;8;334;615;1027.0;-
20;7.00;0.0;15.5;60;6;230;15;229;1278;1026.9;-
20;8.00;0.0;14.8;70;10;305;20;281;1906;1026.8;-
20;9.00;0.0;14.9;70;11;285;21;299;2451;1026.5;-
20;10.00;0.0;16.0;60;12;297;21;289;2952;1026.2;-
20;11.00;0.0;16.6;64;14;297;28;310;3207;1025.6;-
20;12.00;0.0;18.8;47;12;280;26;285;3201;1025.5;-
20;13.00;0.0;18.9;50;13;306;29;285;3032;1024.7;-
20;14.00;0.0;17.4;61;21;198;35;226;2640;1024.2;-
20;15.00;0.0;18.8;45;15;238;32;188;2070;1024.3;-
20;16.00;0.0;18.7;44;5;302;14;214;1404;1023.9;-
20;17.00;0.0;18.4;43;6;351;13;331;719;1023.7;-
20;18.00;0.0;18.8;41;8;23;14;13;148;1023.7;-
20;19.00;0.0;17.3;51;9;47;17;32;0;1024.5;-
20;20.00;0.0;17.1;49;8;75;14;65;0;1024.2;-
20;21.00;0.0;16.2;54;4;96;10;129;0;1024.6;-
20;22.00;0.0;16.5;47;4;78;12;91;0;1024.4;-
20;23.00;0.0;15.2;53;6;65;15;69;0;1024.0;-
20;24.00;0.0;15.4;48;7;132;18;82;0;1023.7;-
21;1.00;0.0;14.9;51;5;130;10;92;0;1023.3;-
21;2.00;0.0;16.3;39;5;76;10;50;0;1022.8;-
21;3.00;0.0;15.8;39;4;126;10;135;0;1022.2;-
21;4.00;0.0;16.1;36;5;150;12;153;0;1021.8;-
21;5.00;0.0;15.9;36;7;149;15;157;96;1021.8;-
21;6.00;0.0;16.5;35;9;177;19;141;412;1021.8;-
21;7.00;0.0;14.4;-;8;215;19;211;1359;1021.5;-
21;8.00;0.0;14.5;72;10;288;17;216;2036;1021.5;-
21;9.00;0.0;14.7;77;4;326;11;334;1494;1021.3;-
21;10.00;0.0;15.3;64;6;272;17;269;2869;1021.1;-
21;11.00;0.0;16.1;55;9;331;17;306;3031;1020.9;-
21;12.00;0.0;16.7;52;6;346;15;306;3215;1020.6;-
21;13.00;0.0;16.8;55;8;306;15;312;3034;1020.1;-
21;14.00;0.0;16.4;60;11;313;18;295;2444;1020.0;-
21;15.00;0.0;16.6;59;13;318;25;303;2011;1019.8;-
21;16.00;0.0;16.6;58;13;319;23;298;1274;1019.3;-
21;17.00;0.0;16.1;67;10;287;16;323;560;1018.8;-
21;18.00;0.0;15.6;69;8;304;13;306;123;1018.8;-
21;19.00;0.0;16.1;53;7;79;13;301;0;1019.2;-
21;20.00;0.0;15.6;53;6;65;12;102;0;1019.4;-
21;21.00;0.0;14.6;66;6;136;13;190;0;1019.3;-
21;22.00;0.0;14.1;64;5;169;14;44;0;1019.2;-
21;23.00;0.0;13.8;62;4;32;13;69;0;1019.1;-
21;24.00;0.0;13.4;61;5;160;12;70;0;1018.5;-
22;1.00;0.0;13.8;54;4;163;9;192;0;1018.1;-
22;2.00;0.0;13.4;53;4;135;10;89;0;1017.8;-
22;3.00;0.0;12.8;56;5;135;11;45;0;1017.2;-
22;4.00;0.0;12.8;56;6;78;15;77;0;1017.1;-
22;5.00;0.0;12.9;62;5;171;13;76;114;1017.2;-
22;6.00;0.0;13.6;65;5;356;11;71;586;1016.6;-
22;7.00;0.0;14.2;70;5;276;12;282;1288;1016.1;-
22;8.00;0.0;14.9;76;10;311;18;313;1734;1015.6;-
22;9.00;0.0;15.2;75;15;310;22;313;2426;1014.9;-
22;10.00;0.0;15.4;76;18;299;24;309;2871;1014.4;-
22;11.00;0.0;15.2;79;15;252;23;254;3123;1013.8;-
22;12.00;0.0;15.4;79;18;249;28;253;3034;1013.7;-
22;13.00;0.0;15.3;81;21;272;30;254;2827;1013.5;-
22;14.00;0.0;15.3;82;14;349;20;288;2109;1013.0;-
22;15.00;0.0;15.4;81;17;324;25;319;1172;1012.3;-
22;16.00;0.0;15.7;77;16;310;23;323;450;1011.8;-
22;17.00;0.0;15.7;79;13;272;19;282;273;1011.6;-
22;18.00;0.0;15.5;79;7;333;13;351;49;1011.6;-
22;19.00;0.0;15.6;78;5;225;10;209;0;1012.1;-
22;20.00;0.0;15.7;76;8;8;15;2;0;1011.9;-
22;21.00;0.0;16.4;70;14;34;24;29;1;1011.5;-
22;22.00;0.0;16.6;63;10;18;25;33;0;1010.7;-
22;23.00;0.0;15.8;71;7;162;14;154;0;1010.4;-
22;24.00;0.0;15.8;68;9;69;16;84;0;1009.7;-
23;1.00;0.1;15.2;71;10;108;21;144;0;1009.2;-
23;2.00;0.2;14.5;76;9;34;22;32;0;1008.6;-
23;3.00;2.1;13.6;82;8;143;16;47;0;1008.5;-
23;4.00;0.8;13.1;88;6;359;14;189;0;1008.4;-
23;5.00;0.9;12.9;90;7;315;15;20;6;1008.2;-
23;6.00;1.7;12.7;92;6;13;12;341;27;1007.8;-
23;7.00;1.2;13.5;87;7;35;16;45;52;1007.4;-
23;8.00;0.0;14.7;75;12;96;27;56;136;1007.4;-
23;9.00;0.0;15.1;75;10;71;19;91;158;1007.6;-
23;10.00;0.0;15.2;72;15;96;26;95;170;1007.8;-
23;11.00;0.0;15.5;72;17;81;31;79;276;1007.6;-
23;12.00;0.6;15.2;72;15;94;26;96;133;1007.8;-
23;13.00;0.5;15.3;74;14;82;25;103;55;1007.9;-
23;14.00;0.0;15.8;74;10;140;22;163;140;1007.9;-
23;15.00;0.3;15.5;77;15;148;33;132;112;1008.2;-
23;16.00;2.9;14.8;86;15;81;26;128;81;1008.3;-
23;17.00;2.7;14.5;85;9;96;18;89;50;1008.4;-
23;18.00;0.2;15.2;79;12;88;23;89;21;1008.5;-
23;19.00;0.0;15.8;77;8;122;18;71;0;1009.2;-
23;20.00;0.3;15.7;80;10;90;27;100;0;1009.6;-
23;21.00;0.2;15.6;82;16;105;31;112;0;1009.7;-
23;22.00;0.1;16.2;79;18;120;44;124;0;1009.9;-
23;23.00;0.0;16.5;78;18;121;37;134;0;1010.2;-
23;24.00;0.0;16.6;79;18;122;30;119;0;1010.5;-
24;1.00;0.0;16.5;80;20;120;38;114;0;1010.5;-
24;2.00;0.0;16.5;80;22;129;35;122;0;1010.9;-
24;3.00;0.0;16.3;81;18;134;34;112;0;1011.5;-
24;4.00;1.5;15.8;86;12;103;24;129;0;1012.1;-
24;5.00;0.0;15.8;85;14;104;24;96;7;1012.5;-
24;6.00;0.0;16.2;82;13;122;27;119;78;1013.0;-
24;7.00;0.0;16.5;81;17;135;29;144;179;1013.6;-
24;8.00;0.0;17.3;78;18;135;39;140;419;1014.2;-
24;9.00;0.0;17.7;76;19;143;35;134;750;1014.8;-
24;10.00;0.0;18.7;71;19;133;32;130;1429;1015.1;-
24;11.00;0.0;19.6;68;19;143;33;140;2381;1015.0;-
24;12.00;0.0;19.7;66;18;146;30;135;1560;1015.0;-
24;13.00;0.0;20.5;61;15;161;30;143;1373;1015.0;-
24;14.00;0.0;17.3;79;17;311;28;331;1548;1015.1;-
24;15.00;0.0;16.3;86;18;317;29;303;1894;1015.5;-
24;16.00;0.0;16.2;88;20;335;30;327;974;1015.5;-
24;17.00;0.0;19.3;69;10;136;25;339;505;1015.4;-
24;18.00;0.0;18.5;71;10;165;20;152;54;1015.9;-
24;19.00;0.0;16.3;84;7;286;15;295;0;1016.4;-
24;20.00;0.0;17.4;76;7;111;19;154;0;1016.9;-
24;21.00;0.0;17.1;77;12;147;25;144;0;1017.1;-
24;22.00;0.0;17.1;76;9;132;19;147;0;1017.1;-
24;23.00;0.0;16.9;78;5;181;14;141;0;1017.2;-
24;24.00;0.0;16.1;82;5;310;9;289;0;1017.2;-
25;1.00;0.0;16.2;83;6;36;16;331;0;1017.3;-
25;2.00;0.0;16.2;81;3;136;12;113;0;1017.8;-
25;3.00;0.0;16.6;73;10;154;20;141;0;1018.1;-
25;4.00;0.0;16.5;73;9;125;18;131;0;1018.0;-
25;5.00;0.0;16.5;73;5;103;14;118;100;1018.4;-
25;6.00;0.0;17.3;73;9;131;32;133;608;1018.8;-
25;7.00;0.0;18.5;71;18;151;31;146;1333;1019.0;-
25;8.00;0.0;19.4;68;20;147;34;143;2003;1019.2;-
25;9.00;0.0;19.9;63;15;150;28;140;2447;1019.5;-
25;10.00;0.0;17.1;77;14;306;26;315;1866;1019.6;-
25;11.00;0.0;16.3;87;16;296;25;308;2730;1019.5;-
25;12.00;0.0;16.1;90;18;303;27;306;2947;1019.3;-
25;13.00;0.0;15.7;92;24;311;35;305;2595;1019.2;-
25;14.00;0.0;15.6;92;29;302;41;295;2428;1018.4;-
25;15.00;0.0;15.6;92;17;279;27;272;1716;1018.7;-
25;16.00;0.0;15.5;92;12;294;22;271;689;1018.7;-
25;17.00;0.0;15.6;92;5;252;9;307;301;1018.4;-
25;18.00;0.0;15.4;93;6;296;12;299;64;1018.2;-
25;19.00;0.0;15.4;94;8;326;16;327;0;1018.3;-
25;20.00;0.0;15.3;95;7;344;12;328;0;1018.1;-
25;21.00;0.0;15.3;95;5;346;11;329;0;1017.5;-
25;22.00;0.0;16.0;93;3;131;8;119;0;1017.4;-
25;23.00;0.0;16.1;88;5;149;12;168;0;1017.2;-
25;24.00;0.0;15.8;87;4;2;10;346;0;1017.1;-
26;1.00;0.0;15.9;88;6;79;13;329;0;1016.4;-
26;2.00;0.0;16.3;77;6;52;11;30;0;1016.0;-
26;3.00;0.0;15.7;81;4;88;9;79;0;1015.5;-
26;4.00;0.0;15.7;79;5;151;14;79;0;1015.5;-
26;5.00;0.0;16.5;74;7;83;14;69;130;1015.2;-
26;6.00;0.0;18.2;67;6;344;14;65;516;1014.7;-
26;7.00;0.0;19.6;62;6;138;25;127;1090;1014.6;-
26;8.00;0.0;17.2;74;12;249;24;177;1278;1014.8;-
26;9.00;0.0;17.3;76;6;282;14;226;1981;1014.9;-
26;10.00;0.0;17.3;78;16;308;28;317;1752;1013.9;-
26;11.00;0.0;16.8;86;18;290;33;287;2011;1014.2;-
26;12.00;0.0;17.5;83;10;333;28;293;1682;1014.8;-
26;13.00;0.0;16.8;86;9;337;19;337;712;1014.8;-
26;14.00;0.0;18.2;72;18;147;44;147;356;1014.3;-
26;15.00;0.0;18.1;72;9;135;28;137;391;1013.9;-
26;16.00;0.0;18.4;69;15;137;28;121;559;1013.3;-
26;17.00;0.0;18.4;70;17;126;29;142;748;1012.9;-
26;18.00;0.0;17.8;72;15;127;30;129;159;1012.8;-
26;19.00;0.0;17.6;71;13;116;22;132;1;1013.1;-
26;20.00;0.0;17.2;73;9;141;25;137;0;1013.5;-
26;21.00;0.0;16.7;76;13;142;27;151;0;1013.6;-
26;22.00;0.1;15.0;68;18;335;46;331;0;1014.1;-
26;23.00;0.0;14.3;70;18;84;39;343;0;1013.5;-
26;24.00;0.0;14.9;65;17;84;26;75;0;1013.4;-
27;1.00;0.0;14.8;72;8;130;19;100;0;1013.4;-
27;2.00;0.0;14.3;75;6;157;13;158;0;1013.5;-
27;3.00;0.0;14.2;76;9;104;17;125;0;1013.3;-
27;4.00;0.0;14.1;76;9;120;15;126;0;1013.4;-
27;5.00;0.0;14.0;76;10;133;18;141;127;1014.0;-
27;6.00;0.0;14.8;74;11;141;19;125;760;1014.5;-
27;7.00;0.0;15.3;74;9;118;17;155;1139;1014.5;-
27;8.00;0.0;15.0;76;9;287;16;287;1826;1014.5;-
27;9.00;0.0;14.9;78;15;302;21;295;2601;1014.4;-
27;10.00;0.0;15.1;81;15;280;21;302;3129;1014.8;-
27;11.00;0.0;15.8;79;9;224;17;257;3397;1014.7;-
27;12.00;0.0;15.6;73;12;254;23;260;2867;1014.7;-
27;13.00;0.0;15.6;76;13;247;23;256;3063;1014.5;-
27;14.00;0.0;15.8;76;13;270;19;263;2699;1014.1;-
27;15.00;0.0;15.7;76;9;300;16;289;1561;1014.1;-
27;16.00;0.0;15.8;76;9;293;17;281;863;1014.3;-
27;17.00;0.0;16.0;75;5;305;10;274;782;1014.0;-
27;18.00;0.0;15.5;77;7;9;15;258;109;1014.1;-
27;19.00;0.0;15.5;78;5;169;13;182;1;1014.7;-
27;20.00;0.0;15.5;63;6;113;14;126;0;1014.9;-
27;21.00;0.0;15.2;59;9;85;18;125;0;1014.5;-
27;22.00;0.0;15.1;58;6;73;16;48;0;1014.4;-
27;23.00;0.0;14.7;64;5;163;12;69;0;1014.7;-
27;24.00;0.0;13.9;66;5;77;13;182;0;1014.6;-
28;1.00;0.0;13.1;67;9;98;17;88;0;1014.2;-
28;2.00;0.0;13.4;66;7;121;12;100;0;1014.0;-
28;3.00;0.0;13.2;68;5;132;10;135;0;1013.6;-
28;4.00;0.0;13.3;64;8;119;13;67;1;1013.2;-
28;5.00;0.0;14.4;56;9;96;20;94;172;1012.6;-
28;6.00;0.0;15.1;57;6;63;14;65;356;1012.6;-
28;7.00;0.0;14.4;60;12;88;21;76;221;1012.9;-
28;8.00;0.0;13.9;64;11;80;28;81;210;1013.6;-
28;9.00;0.0;14.1;68;24;77;37;72;678;1013.7;-
28;10.00;0.1;14.1;72;28;69;46;52;609;1013.1;-
28;11.00;0.5;13.9;69;32;67;50;51;307;1012.1;-
28;12.00;0.5;13.3;72;33;68;49;58;163;1011.7;-
28;13.00;0.8;13.0;71;33;73;54;61;101;1011.0;-
28;14.00;5.5;12.0;83;17;105;52;192;70;1012.5;-
28;15.00;2.0;12.0;84;18;84;33;70;101;1012.1;-
28;16.00;1.0;12.4;76;21;86;33;83;225;1011.9;-
28;17.00;0.0;12.9;77;15;90;31;95;82;1012.1;-
28;18.00;1.0;12.1;78;13;91;22;78;6;1012.9;-
28;19.00;2.9;11.7;82;14;90;29;81;0;1013.5;-
28;20.00;2.5;11.4;82;11;116;19;71;0;1013.6;-
28;21.00;3.0;11.2;85;7;211;16;75;0;1013.4;-
28;22.00;3.7;10.7;89;3;4;8;151;0;1013.7;-
28;23.00;3.8;10.5;92;3;259;9;254;0;1013.7;-
28;24.00;4.6;10.1;92;6;277;17;282;0;1013.4;-
29;1.00;0.8;10.6;93;11;292;19;326;0;1013.1;-
29;2.00;0.5;11.3;74;10;129;21;180;1;1013.0;-
29;3.00;0.0;11.3;67;7;97;20;82;1;1012.9;-
29;4.00;0.0;11.5;77;7;265;18;272;0;1012.8;-
29;5.00;0.0;10.0;86;24;299;39;289;11;1013.3;-
29;6.00;0.0;9.9;84;27;315;36;301;68;1013.6;-
29;7.00;0.0;10.1;80;22;330;31;310;172;1013.6;-
29;8.00;0.0;10.9;75;22;342;36;344;525;1013.8;-
29;9.00;0.0;11.0;79;18;320;28;342;634;1013.9;-
29;10.00;0.0;11.1;78;23;304;33;302;805;1013.5;-
29;11.00;0.0;11.3;77;24;311;33;299;506;1013.4;-
29;12.00;0.0;12.0;74;17;315;26;303;610;1013.3;-
29;13.00;0.0;12.5;75;16;306;24;316;625;1013.2;-
29;14.00;0.0;12.7;74;13;313;23;289;511;1013.1;-
29;15.00;0.0;12.8;73;12;301;27;309;726;1012.6;-
29;16.00;0.0;12.8;76;19;300;28;310;762;1012.5;-
29;17.00;0.0;13.1;73;19;307;26;296;249;1012.4;-
29;18.00;0.0;13.1;67;18;334;28;308;73;1013.0;-
29;19.00;0.0;12.9;75;10;47;21;327;1;1013.4;-
29;20.00;0.0;12.6;72;9;48;15;53;0;1013.7;-
29;21.00;0.0;12.8;64;6;13;15;34;0;1013.6;-
29;22.00;0.0;12.8;63;8;9;17;346;0;1013.5;-
29;23.00;0.0;13.0;63;9;343;19;346;0;1013.3;-
29;24.00;0.0;12.3;71;9;115;18;354;0;1012.9;-
30;1.00;0.0;11.9;73;7;141;12;152;0;1012.6;-
30;2.00;0.0;11.6;75;6;140;13;150;0;1012.6;-
30;3.00;0.0;11.5;76;7;95;12;95;0;1012.5;-
30;4.00;0.0;11.4;76;9;119;15;133;0;1012.3;-
30;5.00;0.0;11.7;77;9;113;15;140;74;1012.4;-
30;6.00;0.0;12.0;76;10;130;15;138;360;1012.3;-
30;7.00;0.0;12.9;69;9;123;16;125;1168;1012.5;-
30;8.00;0.0;13.2;66;5;253;14;127;1073;1012.7;-
30;9.00;0.0;13.2;67;6;288;14;292;1988;1012.6;-
30;10.00;0.0;13.4;68;9;288;16;292;1704;1012.4;-
30;11.00;0.0;13.4;69;7;295;14;299;2253;1012.2;-
30;12.00;0.0;13.4;71;9;301;16;293;858;1011.9;-
30;13.00;0.0;13.7;70;4;252;11;289;1682;1011.8;-
30;14.00;0.0;13.9;72;7;282;12;268;1290;1011.3;-
30;15.00;0.0;13.9;75;10;300;18;297;961;1011.3;-
30;16.00;0.0;14.2;78;9;304;17;303;574;1011.6;-
30;17.00;0.0;14.7;79;5;186;12;257;307;1011.4;-
30;18.00;0.0;15.0;77;9;121;15;130;99;1011.7;-
30;19.00;0.0;14.7;80;6;321;14;133;2;1012.6;-
30;20.00;0.0;14.6;71;6;45;12;5;0;1012.9;-
30;21.00;0.0;14.6;73;5;195;11;73;0;1012.9;-
30;22.00;0.0;14.2;74;3;189;11;164;0;1013.0;-
30;23.00;0.0;13.8;77;4;215;9;161;0;1013.2;-
30;24.00;0.0;13.2;78;3;119;7;48;0;1013.0;-
NOTA BENE: l'utilizzo dei dati e delle informazioni disponibili in questa pagina web e relative sottopagine e' soggetto alle condizioni e limitazioni descritte nelle note legali, che l'utente implicitamente accetta
* ora UTC (ora di Greenwich): per ottenere quella locale bisogna aggiungere 1 o 2 ore rispettivamente nel caso in cui sia in vigore l'ora solare o quella legale
ARPA FVG - OSMER: pagina generata il 07-05-2019 alle 12:03
